FSC-A	FSC-H	SSC-A	SSC-H	APC-A	APC-R700-A	BUV395-A	BUV737-A	BV421-A	BV480-A	BV605-A	BV650-A	BV711-A	BV786-A	FITC-A	NIR-A	PE-A	PE-CF594-A	PE-Cy5-A	PE-Cy7-A	Time	Sample
53999.640625	51275	41763	37999	189.54000854492187	2342.52001953125	150.75	4418.64990234375	532.3499755859375	10584	3839.849853515625	4653.81005859375	3228.119873046875	6646.5	146.40000915527344	3586.14013671875	5046.25	2465.10009765625	585.20001220703125	11075.3505859375	1952490.125	AP0301
71805.5390625	66540	62136.6015625	56056	602.10003662109375	3371.22021484375	117.25	4025.360107421875	506.5199890136719	18264.330078125	3470.0400390625	6332.1298828125	16208.009765625	8253.6298828125	91.20000457763672	3002.940185546875	69.8499984741211	73.1500015258789	45.10000228881836	2141.150146484375	4333740	AP0301
113845.5234375	101946	37525.203125	34446	381.2400207519531	1267.3800048828125	71.69000244140625	1713.8599853515625	667.16998291015625	20928.599609375	4457.25	6180.93017578125	5198.759765625	10524.150390625	85.80000305175781	3140.64013671875	503.8000183105469	299.75	112.20000457763672	6511.4501953125	2613160	AP0301
45845.76953125	43063	40962	38787	4118.580078125	17608.861328125	280.7300109863281	10705.2607421875	607.95001220703125	16161.3896484375	7057.89013671875	10536.75	9164.6103515625	8457.75	94.20000457763672	11289.7802734375	660	817.85003662109375	587.4000244140625	1845.800048828125	2289560	AP0301
78962.671875	71763	37481.40234375	35683	597.24005126953125	1971.5400390625	138.02000427246094	3077.31005859375	421.4700012207031	11500.650390625	2395.889892578125	4627.35009765625	11532.7802734375	7287.83984375	61.80000305175781	3035.880126953125	1366.75	595.10003662109375	253	8923.75	4518980	AP0301
61978.44140625	55042	70560.6015625	63094	483.3000183105469	3751.920166015625	113.9000015258789	4416.64013671875	1093.679931640625	25285.05078125	6106.58984375	10183.9501953125	17149.859375	17886.330078125	129	8415.3603515625	971.300048828125	605	432.8500061035156	56439.3515625	2132400	AP0301
79085.28125	73095	32334.001953125	31043	438.4800109863281	2874.420166015625	22.110000610351563	4706.75	927.989990234375	7318.7099609375	5281.919921875	12047.490234375	27565.01953125	10855.5302734375	255.00001525878906	3305.340087890625	319.5500183105469	621.5	301.3999938964844	999.35003662109375	791840	AP0301
95243.5703125	83568	20205.6015625	18372	2970.5400390625	15471.0009765625	371.8500061035156	9507.2998046875	769.22998046875	7907.1298828125	2251.619873046875	3238.199951171875	7212.23974609375	8326.7099609375	52.80000305175781	9756.720703125	546.70001220703125	338.25	263.45001220703125	1487.75	2775880.25	AP0301
52527.1015625	48502	50455.203125	48370	659.34002685546875	4667.76025390625	242.54000854492187	8284.5498046875	970.83001708984375	20943.08984375	11874.240234375	11664.4501953125	5680.080078125	4935.419921875	527.4000244140625	3245.400146484375	44936.65234375	19253.849609375	5278.89990234375	1339.800048828125	5120790	AP0301
67569.09375	62101	34396.80078125	32261	184.6800079345703	389.8800048828125	103.85000610351562	574.19000244140625	308.70001220703125	10003.1396484375	3051.719970703125	4490.64013671875	2107.97998046875	4103.18994140625	84.600006103515625	1032.47998046875	345.95001220703125	313.5	191.40000915527344	640.75	4284250	AP0301
74283.96875	65871	32205.001953125	29339	1969.380126953125	8926.740234375	240.52999877929687	9526.73046875	1368.3599853515625	12055.6796875	17308.619140625	27481.23046875	12278.0703125	9667.349609375	84	7346.7001953125	1331.550048828125	3887.9501953125	3304.949951171875	3370.949951171875	2295220	AP0301
89733.4453125	79482	41237.40234375	38062	648	3699.000244140625	170.1800079345703	4887.64990234375	654.57000732421875	18377.73046875	13389.3896484375	12785.849609375	6708.8701171875	7813.259765625	591	4558.14013671875	65727.203125	27547.30078125	7244.60009765625	4710.2001953125	3929000	AP0301
114243.8515625	100481	51133.80078125	47125	667.44000244140625	3083.940185546875	28.14000129699707	4844.77001953125	813.33001708984375	28866.599609375	5232.77978515625	9104.759765625	26911.080078125	14931	122.4000015258789	4692.60009765625	73.70000457763672	84.1500015258789	39.60000228881836	6180.89990234375	1522920	AP0301
145018.96875	132395	36814.80078125	35167	299.1600036621094	1542.780029296875	38.19000244140625	2738.2900390625	1212.75	7287.2099609375	9230.759765625	17239.94921875	14101.919921875	10796.939453125	140.40000915527344	3046.68017578125	712.25	1277.6500244140625	635.25	893.75	2429540	AP0301
97611.59375	86982	32280.6015625	30150	699.84002685546875	3203.820068359375	86.43000030517578	2239.14013671875	602.90997314453125	16330.8603515625	4466.7001953125	4992.75	3756.06005859375	5253.56982421875	120.60000610351562	3022.920166015625	5639.14990234375	2532.199951171875	668.79998779296875	2465.650146484375	4540080	AP0301
